Word,Clue
SAPAT,"Di dapat na kulangin, di rin dapat pasobrahin."
SANGKO,"Kung may ditche at diko sa sambahayan, kapartner nito ang sanse sa tahanan."
SARONG,"Barong itinatapis lamang, maaaring gawing pormal na kasuotan.Thailand ang pinanggalingan."
SINAT,"Hindi ka pa gaanong nilalagnat, sakit ay di pa ganap."
SUNGOT,"Maitim na puwit, tangkay ay nakakabit."
SINAING,"Umupo si itim, sinulot ni pula,lumabas si puti, bubuga-buga."
MANOK,"Tag-ulan o tag-araw, hanggang tuhod ang salawal."
SUNGSONG,"Sisidlang papel na kono ang hugis, malalagyan ng maning mainit."
TABAKO,"Berdeng dahon kapag natuyo. Ginagayat, binibilot at sinusubo."
TAGUMPAY,Kabaliktaran ng kabiguan. Simbulo ng lawrel sa labanan. Damdamin ay puno ng katuwaan.
TALATA,"Mga pangungusap na may kaisahan, nagpapahayag ng damdamin at kaisipan."
TAO,Nang bata pa ay apat ang paa. Nang lumaki ay dalawa. Nang tumanda ay tatlo na.
TILAMSIK,"Masakit na pag-iktad ng kumukulong mantika, kapag may pinipiritong isda."
BATINGAW,"Kinatog ko ang bangka,
Nagsilapit ang mga isda."
TUHOD,"Dalawang magkapatid,
Sa pagdarasal ay namimitig."
TUSO,"Garapal na katalinuhang bansag sa matsing
Laging gustong magkamal ng buliling."
ULIRAN,"Modelo sa katauhan
Tinitingala ng kalahatan."
TUBERO,"Kapag bumabaha sa paliguan, mga liyabi ay kanyang tangan-tangan."
SINOK,"Tunog sa lalamunan,
Inumin ang kailangan."
KAMATSILE,"Hindi pa natatalupa’y, nanganganinag na ang laman."
GULOK / ITAK,"Kung mahiga ay patagilid, kung nakatayo ay patiwarik."
PUSA,Matanda na ang nuno hindi pa naliligo.
LANGGAM,Maliit pa si Nene nakakaakyat na sa tore.
PANIKI,"Sa araw nahihimbing, sa gabi ay gising."
SUROT,Tiniris mo na inaamuyan pa.
BIBE,Kay liit pa ni Neneng marunong nang kumendeng.
ELEPANTE,Anong hayop ang dalawa ang buntot?
TIPAKLONG,"Ang ulo ay kabayo, ang leeg ay pare, ang katawan ay uod, ang paa ay lagare."
LANGAW,"Naghanda ang katulong ko, nauna pang dumulog ang tukso."
ALITAPTAP,Eto na si bayaw dala-dala’y ilaw.
SUNGAY NG USA,"Pantas ka man at marunong, at nag-aral nang malaon, aling kahoy sa gubat ang nagsasanga’y walang ugat?"
PALAKA,"May ulo’y walang buhok, may tiyan walang pusod."
LISA,Alin itlog ang may buntot?
KUTO,Dala-dala mo siya pero kinakain ka niya.
UNGGOY,"Yao’t dito, roo’y mula, laging ang ginagawa’y magtago at mamulaga sa matatanda at sa bata."
LAMOK,Kung kailan tahimik saka nambubuwisit.
TALABA,"Hindi naman platero, hindi naman panday, lapat ang buhay."
AHAS,"Tungkod ni Kapitana, hindi mahawakan."
TALABA,"Kinain ko ang isa, ang itinapon ko ay dalawa."
GAGAMBA,Bata pa si Nene marunong nang manahi.
BULATE,"Nang kainin ay patay, nang iluwa’y buhay."
PUGO,Alin sa mga ibon ang di nakadadapo sa kahoy?
ASO,"Mataas kung nakaupo, mababa kung nakatayo."
KULIGLIG,"Bagama’t maliit, marunong nang umawit."
BAKA,"Kahit hindi tayo magkaano-ano, ang gatas ng anak ko ay gatas din ng anak mo."
KALAPATI,"Ibon kong saan man makarating, makababalik kung saan nanggaling."
KUTO,"Dala mo’t sunong, ikaw rin ang baon."
ELEPANTE,Ang abot ng paa ko’y abot rin ng ilong ko. Anong hayop ako?
GAGAMBA,Kung manahi ‘y nagbabaging at sa gitna’y tumitigil.
GAMU-GAMO,"Kulisap na lilipad-lipad, sa ningas ng liwanag ay isang pangahas."
HIGAD / TILAS,"Isang uod na puro balahibo, kapag nadikit sa iyo ang ulo ay tiyak mangangati ang balat mo."
