Date,Word,Clue
2025-12-14,HALA,Larga
2025-12-14,LARGA,Hala
2025-12-14,HINTO,Tahan
2025-12-14,TAHAN,Hinto
2025-12-14,MAGUTOSNANGMAGUTOS,Utusan nang utusan
2025-12-14,UTUSANNANGUTUSAN,Mag-utos nang mag-utos
2025-12-14,HUMINGINGKATIBAYAN,Pahintuin at tanungin
2025-12-14,PAHINTUINATTANUNGIN,Humingi ng katibayan
2025-12-14,MAGINGMEDYOSIRASIRA,Maging sumpungin
2025-12-14,MAGINGSUMPUNGIN,Maging medyo sira-sira
2025-12-14,ALISANNGLAMAN,Alisin sa pagkakaimpake
2025-12-14,ALISINSAPAGKAKAIMPAKE,Alisan ng laman
2025-12-14,GULUNGGULUNGAN,Lalagukan
2025-12-14,GULUNGGULUNGAN,Tatagukan
2025-12-14,LALAGUKAN,Gulunggulungan
2025-12-14,TATAGUKAN,Gulunggulungan
2025-12-14,ONDRAS,Todos los santos
2025-12-14,TODOSLOSSANTOS,Ondras
2025-12-14,TODOSLOSSANTOS,Undras
2025-12-14,UNDRAS,Todos los santos
2025-12-14,ANTIMONY,Istebin
2025-12-14,ISTEBIN,Antimony
2025-12-14,LANGAYLANGAYAN,Layanglayang
2025-12-14,LAYANGLAYANG,Langaylangayan
2025-12-14,BELGA,Belhika-ko
2025-12-14,BELHIKAKO,Belga
2025-12-14,AMIRAY,Ramie
2025-12-14,ARIMAY,Rami
2025-12-14,ARIMAY,Ramie
2025-12-14,RAMI,Arimay
2025-12-14,RAMIE,Amiray
2025-12-14,RAMIE,Arimay
2025-12-14,INSIK,Langlang
2025-12-14,INSIK,Tsino
2025-12-14,INTSIK,Langlang
2025-12-14,INTSIK,Tsino
2025-12-14,LANGLANG,Insik
2025-12-14,LANGLANG,Intsik
2025-12-14,LANGLANG,Tsino
2025-12-14,TSINO,Insik
2025-12-14,TSINO,Intsik
2025-12-14,TSINO,Langlang
2025-12-14,LUMPIYA,Totso
2025-12-14,LUMPYA,Totso
2025-12-14,TOTSO,Lumpiya
2025-12-14,TOTSO,Lumpya
2025-12-14,KAKRISTIYANUHAN,Kristyanismo
2025-12-14,KRISTYANISMO,Kakristiyanuhan
2025-12-14,PANGAGINALDO,Papasko
2025-12-14,PAPASKO,Pang-aginaldo
2025-12-14,HALINA,Parito!
2025-12-14,PARITO,Halina
2025-12-14,KUMUNYON,Pakikinabang
2025-12-14,PAKIKINABANG,Kumunyon
2025-12-14,KUPRUM,Tanso
2025-12-14,TANSO,Kuprum
2025-12-14,BATHALA,Dios
2025-12-14,BATHALA,Lumikha
2025-12-14,BATHALA,Maykapal
2025-12-14,BATHALA,"Maylikha, ang -"
2025-12-14,DIOS,Bathala
2025-12-14,DIOS,Lumikha
2025-12-14,DIOS,Maykapal
2025-12-14,DIOS,"Maylikha, ang -"
2025-12-14,LUMIKHA,Bathala
2025-12-14,LUMIKHA,Dios
2025-12-14,LUMIKHA,Maykapal
2025-12-14,LUMIKHA,"Maylikha, ang -"
2025-12-14,MAYKAPAL,Bathala
2025-12-14,MAYKAPAL,Dios
2025-12-14,MAYKAPAL,Lumikha
2025-12-14,MAYLIKHAANG,Bathala
2025-12-14,MAYLIKHAANG,Dios
2025-12-14,MAYLIKHAANG,Lumikha
2025-12-14,MAYLIKHAANG,Maykapal
2025-12-14,AWRUM,Ginto
2025-12-14,GINTO,Awrum
2025-12-14,OLEO,Santu-olyo
2025-12-14,SANTUOLYO,Oleo
2025-12-14,AKOMISMO,Ako na rin
2025-12-14,AKONARIN,Ako mismo
2025-12-14,BULANGNAGDUDUROG,Bulang palba
2025-12-14,BULANGPALBA,Bulang nagdudurog
2025-12-14,PLUBYUM,Tingga
2025-12-14,TINGGA,Plubyum
2025-12-14,PANGINOON,Puon
2025-12-14,PUON,Panginoon
2025-12-14,PANGINOON,Senyorito
2025-12-14,POON,Senyorito
2025-12-14,PUON,Senyorito
2025-12-14,SENYORITO,Panginoon
2025-12-14,SENYORITO,Poon
2025-12-14,SENYORITO,Puon
2025-12-14,ASOGE,Hidrargirum
2025-12-14,HIDRARGIRUM,Asoge
2025-12-14,DAANGMALAGATAS,Pulong-bituin
2025-12-14,PULONGBITUIN,Daang malagatas
2025-12-14,GINOO,G.
2025-12-14,GINOO,Senyor
2025-12-14,GINOO,Sinyor
2025-12-14,SENYOR,G.
2025-12-14,SENYOR,Ginoo
2025-12-14,SINYOR,G.
2025-12-14,SINYOR,Ginoo
2025-12-14,MORA,Muslim
2025-12-14,MORO,Muslim
2025-12-14,MUSLIM,Mora
2025-12-14,MUSLIM,Moro
2025-12-14,AYTA,Pugot
2025-12-14,PUGOT,Ayta
2025-12-14,HABAGATAN,Oksidente
2025-12-14,OKSIDENTE,Habagatan
2025-12-14,KALYUM,Potasyum
2025-12-14,POTASYUM,Kalyum
2025-12-14,DIYABLO,Satanas
2025-12-14,SATANAS,Diyablo
2025-12-14,BIBLIA,Eskritura
2025-12-14,BIBLIYA,Eskritura
2025-12-14,ESKRITURA,Biblia
2025-12-14,ESKRITURA,Bibliya
2025-12-14,NATRIYUM,Sodyum
2025-12-14,SODYUM,Natriyum
2025-12-14,ESPANYOL,Kastila
2025-12-14,ISPANYOL,Kastila
2025-12-14,ISPANYOLA,Kastila
2025-12-14,KASTILA,Espanyol
2025-12-14,KASTILA,Ispanyol
2025-12-14,KASTILA,Ispanyola
2025-12-14,ESPANYOLA,Kastila
2025-12-14,KASTILA,Espanyola
2025-12-14,HAN,Para!
2025-12-14,PARA,Han!
2025-12-14,KATAASTAASANGHUKUMAN,Korte suprema
2025-12-14,KORTESUPREMA,Kataas-taasang hukuman
2025-12-14,ISTANUM,Tinggaputi
2025-12-14,TINGGAPUTI,Istanum
2025-12-14,KAINGIN,Pagdudulok
2025-12-14,PAGDUDULOK,Kaingin
2025-12-14,KAKAPYANGOT,Kakatiting
2025-12-14,KAKARAMPOT,Kakatiting
2025-12-14,KAKATITING,Kakapyangot
2025-12-14,KAKATITING,Kakarampot
2025-12-14,KAKATITING,Karampot
2025-12-14,KARAMPOT,Kakatiting
2025-12-14,HIPIG,Idlip
2025-12-14,IDLIP,Hipig
2025-12-14,IDLIP,Paghipig
2025-12-14,PAGHIPIG,Idlip
2025-12-14,PAGHAHAMBOG,Pasikat
2025-12-14,PASIKAT,Paghahambog
2025-12-14,PAMAGOD,Pangyamot
2025-12-14,PANGYAMOT,Pamagod
2025-12-14,IPAUBAYA,Itakwil
2025-12-14,IPAUBAYA,Itigil
2025-12-14,IPAUBAYA,Iwan
2025-12-14,IPAUBAYA,Lisanin
2025-12-14,IPAUBAYA,Magtakwil
2025-12-14,IPAUBAYA,Matakwil
2025-12-14,IPAUBAYA,Panawan
2025-12-14,ITAKWIL,Ipaubaya
2025-12-14,ITAKWIL,Iwan
2025-12-14,ITAKWIL,Lisanin
2025-12-14,ITAKWIL,Magpaubaya
2025-12-14,ITAKWIL,Pabayaan
2025-12-14,ITAKWIL,Panawan
2025-12-14,ITIGIL,Ipaubaya
2025-12-14,ITIGIL,Iwan
2025-12-14,ITIGIL,Lisanin
2025-12-14,ITIGIL,Magpaubaya
2025-12-14,ITIGIL,Magtakwil
